34.00 33.00 1
 1.00 31.00 -1
47.00 34.00 -1
21.00 31.00 -1
17.00 48.00 1
21.00 44.00 -1
 3.00 45.00 -1
22.00 18.00 1
44.00 47.00 -1
43.00 26.00 -1
10.00 20.00 -1
38.00 30.00 1
 7.00 29.00 -1
32.00 10.00 -1
14.00 16.00 1
 8.00  4.00 -1
 2.00 44.00 1
22.00 24.00 -1
14.00 12.00 1
19.00  5.00 1
 8.00 23.00 1
 7.00 28.00 -1
 3.00 16.00 -1
19.00 27.00 -1
15.00 42.00 -1
20.00  0.00 1
29.00 18.00 1
42.00 21.00 -1
 5.00 16.00 1
26.00 25.00 1
12.00 20.00 -1
45.00 38.00 -1
24.00 17.00 -1
18.00 21.00 -1
37.00 47.00 1
43.00  0.00 -1
34.00 25.00 1
31.00 49.00 -1
48.00 33.00 -1
49.00 47.00 1
 6.00 37.00 1
41.00 28.00 -1
42.00 31.00 -1
35.00  6.00 -1
16.00 39.00 -1
45.00 14.00 1
17.00 18.00 -1
25.00 19.00 1
17.00 48.00 1
41.00 45.00 -1
35.00 15.00 1
24.00 43.00 -1
31.00  8.00 1
29.00  8.00 1
 6.00 47.00 -1
37.00 24.00 1
 1.00 13.00 -1
45.00 21.00 -1
32.00  1.00 1
42.00  5.00 1
47.00 15.00 1
36.00 43.00 -1
 6.00 13.00 1
 1.00 33.00 -1
49.00 18.00 1
 3.00  8.00 1
 7.00 25.00 1
33.00 47.00 1
49.00  7.00 -1
34.00 18.00 -1
40.00 29.00 -1
21.00 10.00 1
 0.00 20.00 -1
32.00 37.00 -1
 6.00 27.00 -1
31.00 47.00 -1
 5.00 30.00 -1
32.00 48.00 -1
 1.00 46.00 1
12.00 40.00 1
 7.00 41.00 1
 1.00 14.00 -1
42.00 41.00 1
12.00 29.00 -1
 7.00 31.00 -1
34.00  4.00 1
47.00 41.00 -1
 3.00 44.00 1
25.00  5.00 1
28.00 33.00 -1
29.00  2.00 1
25.00 41.00 -1
19.00  5.00 1
12.00 33.00 1
46.00 35.00 -1
13.00 46.00 1
14.00 12.00 1
48.00 14.00 1
 9.00 45.00 1
44.00 15.00 1
16.00 10.00 1
 2.00 46.00 -1
16.00 31.00 1
19.00 15.00 -1
37.00 42.00 -1
12.00 22.00 -1
22.00 23.00 -1
29.00 15.00 1
13.00 47.00 1
32.00 25.00 1
36.00  9.00 -1
28.00 30.00 1
41.00  8.00 -1
33.00 32.00 1
 9.00 26.00 -1
30.00 45.00 -1
44.00  8.00 -1
36.00 36.00 -1
 2.00 25.00 1
41.00 46.00 -1
 6.00 30.00 -1
29.00  5.00 1
 1.00 38.00 -1
45.00 20.00 -1
 1.00 36.00 -1
